2024-06-19	22:27:40	3875b80e-8650-40d9-a45e-f0b63f901c0e	GET	/	undefined
2024-06-19	22:30:00	1b00668a-e55a-43bf-b56a-ec92d09ac7b8	GET	/	undefined
2024-06-19	22:30:02	aeddd390-ed56-428d-9845-94b34bc36e63	GET	/	undefined
2024-06-19	22:30:21	348b91ed-1130-4f62-baee-d72b2fe687dd	GET	/	undefined
2024-06-19	22:31:51	f897953a-a1f0-4801-8a51-5da0c47d2b9d	GET	/	undefined
2024-06-19	22:32:15	1ef2c6f5-09f6-4bcd-9c1c-449a7168017d	GET	/	undefined
2024-06-19	22:34:34	fd36c506-211a-4f0c-879c-25135b29f954	GET	/api/v1/auth/register	undefined
2024-06-19	22:35:16	a91d0b32-52f0-43e2-96b9-cae5bc8aaa43	GET	/	undefined
2024-06-20	12:10:35	996e6055-8861-4421-be30-7766cbb58d57	OPTIONS	/api/auth/register	http://localhost:3000
2024-06-20	12:10:35	48574c83-6ce9-4083-adfb-7eb1772251bf	POST	/api/auth/register	http://localhost:3000
2024-06-20	12:14:06	42bebf65-0543-403d-98e5-ea536cc4c632	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:14:06	3bf6bd3e-e595-47ca-9ec5-c744b9d4c7c7	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:15:43	b6d7f473-2033-4fcb-b974-9db50f232de9	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:15:43	89805760-60d8-48cc-ae25-7be6c8c6c4dd	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:16:44	06f2a3b2-1d83-4b96-b69f-e79d1751edfd	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:16:44	a7aff743-0709-4a44-94ff-62624fed6254	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:17:40	0c9f68de-a7a5-42a7-852e-5921f12821af	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:17:40	69023488-349b-45e7-9981-663a72b9c5bc	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:21:26	f6b18ae3-9c74-4be9-adc2-a509bb064881	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:21:26	56163ebe-9b95-44f6-b48b-550b4f4da84e	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:56:22	cc74613f-c69f-44b0-96a3-50dfead529bd	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:56:22	986f4598-43df-47a3-860b-973f7de40eaf	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:59:04	4738f970-38fc-4378-9f76-adabacbe679b	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	12:59:04	f449a0be-b4b1-4199-8dfe-9b86e05e8b5e	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:12:46	8f772d60-ae2e-4cc5-9ce5-91a5b086baa5	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:12:46	ac96a9e1-5219-4e72-82f7-c111a471275b	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:15:03	8ae6a62a-0e8e-492a-9b76-60da91dae14b	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:15:03	6764984b-5765-4fcb-8b58-27458226dbe7	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:15:40	2ea01ca3-a11a-4c6a-bc02-8ee6f0a2aa98	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:15:40	d26dff8a-be8a-462c-b375-6edf4b2aaefd	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:16:08	9e4d30e5-62ae-43e5-9456-c1cdc9e00d1b	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:16:08	07e9b307-3091-4cfe-9bdf-78e34edc114f	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:20:51	1aca7382-ccce-4250-b6f7-faf3866e1c77	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:20:51	baaa9471-d5ff-4ca5-9475-8611fdb09fda	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:25:03	7a0abb9c-01e7-43a4-b032-edbb3f621f04	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:25:03	c2388a1a-6562-46de-83b6-400de74c4ed6	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:26:49	151ef1eb-861e-4669-bea6-c4798b92ed34	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:26:49	990b7581-4e04-4fb9-8e5d-ccf762a1fcad	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:30:30	c1e2cb56-9f1f-4204-ae87-0e97a4f7d58c	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:30:30	5fc3676d-0373-43df-8640-9fd8bb908b5c	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:31:43	a93521fd-19cb-4597-8997-d9fb65d2ee5b	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:31:43	40c8f102-b66b-4e80-a5a1-840a07aef3eb	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:33:43	0e5ffd29-3bf3-4b6e-89d2-e903bd9c80e8	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	13:33:43	10f291aa-2884-40b0-9a8d-dabab08109a9	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:31:52	3a587168-962d-4514-8a28-e92ce1c0276e	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:31:52	24e4e034-c681-4926-856b-5f96948af4fc	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:35:13	72d28aab-e45e-492b-8b6d-92b0655cd44f	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:35:13	0b9028e2-7ac1-4589-ac68-3114de0ba690	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:35:27	9365015a-a4d7-4f64-8612-4dca1d070386	POST	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:35:27	6648eb3e-dd63-4664-abcf-f9b78d4b254b	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:37:30	3e4c4402-f05d-4ba5-a714-659ffaf1e418	OPTIONS	/api/v1/auth/register	http://localhost:3000
2024-06-20	19:37:31	f49d77f3-061c-4601-b174-6a0d4136ab3a	POST	/api/v1/auth/register	http://localhost:3000
